cve_ent,ent,anio,pob_tot,i_analf,i_asistesc,i_edbasinc,i_sdsalud,i_ptierra,i_nosan,i_noagua,i_nodren,i_noelec,i_nolav,i_noref,irs,grs,lugar
26,Sonora,2010,2662480,3.03561,3.41775,32.74361,25.02832,5.25743,2.88365,5.55049,9.65426,1.89211,27.11318,7.99455,-0.6904547,Muy bajo,26
27,Tabasco,2010,2238603,7.05617,4.21485,39.82809,25.21331,6.43751,4.54058,26.10505,4.18501,1.36841,30.38182,17.15679,-0.0735109,Medio,14
28,Tamaulipas,2010,3268554,3.60719,3.96674,35.92789,22.45782,3.3319,2.57059,4.83585,11.52245,1.77289,25.32042,10.43935,-0.6521795,Muy bajo,24
29,Tlaxcala,2010,1169936,5.19295,3.27974,38.96987,37.76514,3.85128,4.56649,4.35659,5.36427,1.2029,51.46657,33.6762,-0.051343,Medio,13
30,Veracruz,2010,7643194,11.4371,5.70922,50.72318,39.87332,11.67915,3.90029,23.60882,15.62169,3.14528,45.62376,25.24795,1.13549,Alto,4
31,Yucatán,2010,1955577,9.23298,3.59744,45.06254,24.07535,2.78252,13.3612,5.51713,19.46806,2.01846,31.50589,23.15536,0.2193746,Alto,9
32,Zacatecas,2010,1490668,5.54754,4.40425,48.78377,30.46205,3.40926,8.50046,8.29733,10.0944,1.52632,23.74779,14.25796,-0.1284057,Medio,15
00,Nacional,2005,103263388,8.354058,5.29251,45.98024,49.77814,9.931102,9.897179,11.04686,11.67117,6.121534,39.03955,23.22343,,,
01,Aguascalientes,2005,1065416,4.152704,4.526537,41.82502,26.94487,2.089364,4.532112,2.374351,2.387379,2.844173,18.07186,10.24163,-1.144505,Muy bajo,29
02,Baja California,2005,2844469,3.069734,4.767424,38.9353,35.5305,3.352936,11.18851,5.361501,7.814849,10.58702,28.18993,14.99029,-0.6636371,Muy bajo,25
03,Baja California Sur,2005,512170,3.599856,4.030889,38.92241,30.63885,7.423922,10.00574,12.63685,8.22076,9.157396,39.7338,16.93596,-0.4819943,Bajo,22
04,Campeche,2005,754730,10.16885,5.105306,48.99924,39.99099,8.285078,12.68836,14.42827,18.69194,6.982454,34.67869,27.26818,0.3249348,Alto,9
05,Coahuila,2005,2495200,3.282926,3.842907,38.12652,28.97916,2.486921,5.109471,3.901918,7.49419,3.157393,18.27149,7.406543,-1.250579,Muy bajo,30
06,Colima,2005,567996,6.418893,4.770784,43.71891,26.31797,7.412745,6.509193,2.803826,1.116704,5.184699,32.72828,14.09755,-0.7569511,Muy bajo,27
07,Chiapas,2005,4293459,21.32685,9.651691,64.65071,76.36768,29.04424,12.98818,27.21777,20.76008,9.172194,75.82249,52.64651,2.548142,Muy alto,1
08,Chihuahua,2005,3241444,4.410057,5.827547,47.45277,35.96348,5.209619,9.67328,6.105001,7.732853,9.042149,23.73481,13.64374,-0.6064494,Bajo,24
09,Distrito Federal,2005,8720916,2.585458,2.708361,28.27567,42.64521,0.9804612,5.468241,1.826959,0.4254568,4.471865,25.55053,12.36076,-1.396498,Muy bajo,31
10,Durango,2005,1509117,4.832794,4.984059,49.55338,48.04207,9.782809,11.6826,8.488091,14.49001,5.411636,33.43353,17.29742,-0.2412079,Medio,18
11,Guanajuato,2005,4893812,10.42725,6.578969,56.02308,48.90545,7.998623,13.02026,7.216871,12.55733,3.831603,31.00426,18.01385,0.1622082,Alto,11
